Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,source_league,source_season,source_provider
BUNDESLIGA,04/12/2021,Bayer 04 Leverkusen,SpVgg Greuther Fürth 1903,7,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,04/12/2021,Borussia Dortmund,FC Bayern München,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,04/12/2021,FC Augsburg,VfL Bochum 1848,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,04/12/2021,TSG 1899 Hoffenheim,Eintracht Frankfurt,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/12/2021,Borussia Mönchengladbach,SC Freiburg,0,6,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,05/12/2021,VfB Stuttgart,Hertha BSC,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,10/12/2021,1. FC Köln,FC Augsburg,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/12/2021,FC Bayern München,1. FSV Mainz 05,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/12/2021,Hertha BSC,Arminia Bielefeld,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/12/2021,RB Leipzig,Borussia Mönchengladbach,4,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/12/2021,SC Freiburg,TSG 1899 Hoffenheim,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/12/2021,VfL Bochum 1848,Borussia Dortmund,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,11/12/2021,VfL Wolfsburg,VfB Stuttgart,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/12/2021,Eintracht Frankfurt,Bayer 04 Leverkusen,5,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,12/12/2021,SpVgg Greuther Fürth 1903,1. FC Union Berlin,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/12/2021,1. FSV Mainz 05,Hertha BSC,4,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/12/2021,Arminia Bielefeld,VfL Bochum 1848,2,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/12/2021,VfB Stuttgart,FC Bayern München,0,5,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,14/12/2021,VfL Wolfsburg,1. FC Köln,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/12/2021,1. FC Union Berlin,SC Freiburg,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/12/2021,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2,2,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/12/2021,Borussia Dortmund,SpVgg Greuther Fürth 1903,3,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/12/2021,Borussia Mönchengladbach,Eintracht Frankfurt,2,3,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,15/12/2021,FC Augsburg,RB Leipzig,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,17/12/2021,FC Bayern München,VfL Wolfsburg,4,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/12/2021,Eintracht Frankfurt,1. FSV Mainz 05,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/12/2021,Hertha BSC,Borussia Dortmund,3,2,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/12/2021,RB Leipzig,Arminia Bielefeld,0,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/12/2021,SpVgg Greuther Fürth 1903,FC Augsburg,0,0,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/12/2021,TSG 1899 Hoffenheim,Borussia Mönchengladbach,1,1,D,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,18/12/2021,VfL Bochum 1848,1. FC Union Berlin,0,1,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/12/2021,1. FC Köln,VfB Stuttgart,1,0,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,19/12/2021,SC Freiburg,Bayer 04 Leverkusen,2,1,H,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,07/01/2022,FC Bayern München,Borussia Mönchengladbach,1,2,A,BUNDESLIGA,2021-22,openfootball
BUNDESLIGA,08/01/2022,Bayer 04 Leverkusen,1. FC Union Berlin,2,2,D,BUNDESLIGA,2021-22,openfootball
